ColorName,NumOfColors,Type,ColorNum,R,G,B
Pastel2,4,qual,1,179,226,205
,,,2,253,205,172
,,,3,203,213,232
,,,4,244,202,228
Pastel2,5,qual,1,179,226,205
,,,2,253,205,172
,,,3,203,213,232
,,,4,244,202,228
,,,5,230,245,201
Pastel2,6,qual,1,179,226,205
,,,2,253,205,172
,,,3,203,213,232
,,,4,244,202,228
,,,5,230,245,201
,,,6,255,242,174
Pastel2,7,qual,1,179,226,205
,,,2,253,205,172
,,,3,203,213,232
,,,4,244,202,228
,,,5,230,245,201
,,,6,255,242,174
,,,7,241,226,204
Pastel2,8,qual,1,179,226,205
,,,2,253,205,172
,,,3,203,213,232
,,,4,244,202,228
,,,5,230,245,201
,,,6,255,242,174
,,,7,241,226,204
,,,8,204,204,204
Set2,3,qual,1,102,194,165
,,,2,252,141,98
,,,3,141,160,203
Set2,4,qual,1,102,194,165
,,,2,252,141,98
,,,3,141,160,203
,,,4,231,138,195
Set2,5,qual,1,102,194,165
,,,2,252,141,98
,,,3,141,160,203
,,,4,231,138,195
,,,5,166,216,84
Set2,6,qual,1,102,194,165
,,,2,252,141,98
,,,3,141,160,203
,,,4,231,138,195
,,,5,166,216,84
,,,6,255,217,47
Set2,7,qual,1,102,194,165
,,,2,252,141,98
,,,3,141,160,203
,,,4,231,138,195
,,,5,166,216,84
,,,6,255,217,47
,,,7,229,196,148
Set2,8,qual,1,102,194,165
,,,2,252,141,98
,,,3,141,160,203
,,,4,231,138,195
,,,5,166,216,84
,,,6,255,217,47
,,,7,229,196,148
,,,8,179,179,179
Dark2,3,qual,1,27,158,119
,,,2,217,95,2
,,,3,117,112,179
Dark2,4,qual,1,27,158,119
,,,2,217,95,2
,,,3,117,112,179
,,,4,231,41,138
Dark2,5,qual,1,27,158,119
,,,2,217,95,2
,,,3,117,112,179
,,,4,231,41,138
,,,5,102,166,30
Dark2,6,qual,1,27,158,119
,,,2,217,95,2
,,,3,117,112,179
,,,4,231,41,138
,,,5,102,166,30
,,,6,230,171,2
Dark2,7,qual,1,27,158,119
,,,2,217,95,2
,,,3,117,112,179
,,,4,231,41,138
,,,5,102,166,30
,,,6,230,171,2
,,,7,166,118,29
Dark2,8,qual,1,27,158,119
,,,2,217,95,2
,,,3,117,112,179
,,,4,231,41,138
,,,5,102,166,30
,,,6,230,171,2
,,,7,166,118,29
,,,8,102,102,102
Paired,3,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
Paired,4,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
,,,4,51,160,44
Paired,5,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
,,,4,51,160,44
,,,5,251,154,153
Paired,6,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
,,,4,51,160,44
,,,5,251,154,153
,,,6,227,26,28
Paired,7,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
,,,4,51,160,44
,,,5,251,154,153
,,,6,227,26,28
,,,7,253,191,111
Paired,8,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
,,,4,51,160,44
,,,5,251,154,153
,,,6,227,26,28
,,,7,253,191,111
,,,8,255,127,0
Paired,9,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
,,,4,51,160,44
,,,5,251,154,153
,,,6,227,26,28
,,,7,253,191,111
,,,8,255,127,0
,,,9,202,178,214
Paired,10,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
,,,4,51,160,44
,,,5,251,154,153
,,,6,227,26,28
,,,7,253,191,111
,,,8,255,127,0
,,,9,202,178,214
,,,10,106,61,154
Paired,11,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
,,,4,51,160,44
,,,5,251,154,153
,,,6,227,26,28
,,,7,253,191,111
,,,8,255,127,0
,,,9,202,178,214
,,,10,106,61,154
,,,11,255,255,153
Paired,12,qual,1,166,206,227
,,,2,31,120,180
,,,3,178,223,138
,,,4,51,160,44
,,,5,251,154,153
,,,6,227,26,28
,,,7,253,191,111
,,,8,255,127,0
,,,9,202,178,214
,,,10,106,61,154
,,,11,255,255,153
,,,12,177,89,40
Accent,3,qual,1,127,201,127
,,,2,190,174,212
,,,3,253,192,134
Accent,4,qual,1,127,201,127
,,,2,190,174,212
,,,3,253,192,134
,,,4,255,255,153
Accent,5,qual,1,127,201,127
,,,2,190,174,212
,,,3,253,192,134
,,,4,255,255,153
,,,5,56,108,176
Accent,6,qual,1,127,201,127
,,,2,190,174,212
,,,3,253,192,134
,,,4,255,255,153
,,,5,56,108,176
,,,6,240,2,127
Accent,7,qual,1,127,201,127
,,,2,190,174,212
,,,3,253,192,134
,,,4,255,255,153
,,,5,56,108,176
,,,6,240,2,127
,,,7,191,91,23
Accent,8,qual,1,127,201,127
,,,2,190,174,212
,,,3,253,192,134
,,,4,255,255,153
,,,5,56,108,176
,,,6,240,2,127
,,,7,191,91,23
,,,8,102,102,102
